GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolver,332,940,36,47,67,252,35,40,3,30
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolver.StructuringDirective,0,21,0,0,0,4,0,1,0,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ModifyPhaseUtils,4,87,2,10,0,29,3,12,1,8
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolutionEvaluationException,16,0,0,0,8,0,4,0,4,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolutionException,9,0,0,0,4,0,2,0,2,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,RemoveVisitor,334,0,62,0,53,0,54,0,23,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor.TargetType,14,113,5,5,1,23,4,7,1,5
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor,175,411,40,54,30,91,36,27,3,12
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor.Context,76,287,24,44,14,75,23,27,2,13
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,RemoveVisitor.Context,290,0,41,0,70,0,33,0,11,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,RemoveVisitor.TargetType,135,0,10,0,25,0,11,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor.Position,2,65,1,3,0,11,1,3,0,2
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemComponent,237,0,24,0,64,0,46,0,34,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,FindingTarget.Status,41,0,0,0,16,0,10,0,10,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ParameterGuideline,21,6,0,0,7,3,5,1,5,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Diagram,132,0,12,0,37,0,26,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ImportComponentDefinition,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ByComponent,314,0,36,0,79,0,58,0,40,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Property,35,34,0,0,13,15,9,9,9,9
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Action,181,0,18,0,49,0,35,0,26,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,LoggedBy,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Task,356,0,42,0,88,0,65,0,44,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,FindingTarget,153,0,12,0,46,0,32,0,26,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Result.Attestation,104,0,12,0,25,0,18,0,12,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Task.AssociatedActivity,202,0,24,0,49,0,36,0,24,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Origin,104,0,12,0,25,0,18,0,12,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentPart,188,0,18,0,52,0,37,0,28,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,BackMatter,25,37,3,3,5,11,4,7,2,6
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Metadata.Revision,140,6,12,0,40,3,29,1,23,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ByComponent.Inherited,167,0,18,0,43,0,31,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Profile,60,37,5,1,19,12,15,6,12,6
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,LocalDefinitions,118,0,12,0,31,0,22,0,16,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Response.RequiredAsset,174,0,18,0,46,0,33,0,24,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Modify.ProfileSetParameter,236,36,30,0,57,13,40,11,25,11
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,PortRange,41,0,0,0,16,0,10,0,10,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ProfileImport,84,34,12,0,16,15,13,9,7,9
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,TelephoneNumber,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Modify.Alter.Add,182,27,24,0,42,10,30,8,18,8
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalAssessmentCommonModule,10,20,0,0,5,7,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,PoamItem.Origin,62,0,6,0,16,0,11,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,NetworkArchitecture,160,0,18,0,40,0,29,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,InventoryItem.ImplementedComponent,160,0,18,0,40,0,29,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Hash,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemCharacteristics,272,0,24,0,79,0,56,0,44,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentResults,97,0,6,0,31,0,21,0,18,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ComponentDefinition,167,0,18,0,43,0,31,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,BackMatter.Resource,170,18,18,0,45,7,32,5,23,5
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Metadata.Party,385,6,48,0,91,3,69,1,45,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentPlan.TermsAndConditions,62,0,6,0,16,0,11,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ByComponent.Export,202,0,24,0,49,0,36,0,24,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ParameterConstraint,63,6,6,0,16,3,12,1,9,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Task.Timing.WithinDateRange,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalComponentDefinitionModule,10,20,0,0,5,7,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalImplementationCommonModule,10,17,0,0,5,6,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Capability,216,0,24,0,55,0,40,0,28,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ResponsibleParty,154,6,18,0,37,3,28,1,19,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ImplementedRequirement,293,0,36,0,70,0,52,0,34,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Risk.RiskLog,62,0,6,0,16,0,11,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalControlCommonModule,10,17,0,0,5,6,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentSubjectPlaceholder,167,0,18,0,43,0,31,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Control,200,51,30,0,39,22,31,14,16,14
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SubjectReference,132,0,12,0,37,0,26,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SelectControlById,69,0,6,0,19,0,13,0,10,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentResults.LocalDefinitions,111,0,12,0,28,0,20,0,14,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Protocol,83,0,6,0,25,0,17,0,14,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalApModule,10,20,0,0,5,7,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Task.Timing.OnDate,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentSubjectPlaceholder.Source,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ByComponent.Export.Provided,167,0,18,0,43,0,31,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Merge.Flat,20,0,0,0,7,0,4,0,4,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ComponentControlImplementation,209,0,24,0,52,0,38,0,26,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Result.AssessmentLog,62,0,6,0,16,0,11,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemSecurityPlan,59,10,0,0,23,5,16,2,16,2
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Modify,98,6,12,0,22,3,17,1,11,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Metadata.Role,133,6,12,0,37,3,27,1,21,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Merge,39,9,0,0,15,4,10,2,10,2
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,LocalObjective,167,0,18,0,43,0,31,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Characterization.Facet,132,0,12,0,37,0,26,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Metadata.Party.ExternalId,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemInformation.InformationType,188,0,18,0,52,0,37,0,28,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Response,265,0,30,0,67,0,49,0,34,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Activity.Step,181,0,18,0,49,0,35,0,26,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,PoamItem.RelatedObservation,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,BackMatter.Resource.Rlink,64,12,6,0,17,5,12,3,9,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ReviewedControls.ControlSelection,209,0,24,0,52,0,38,0,26,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,RelatedTask,209,0,24,0,52,0,38,0,26,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Finding,272,0,30,0,70,0,51,0,36,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Parameter,202,77,30,0,39,34,32,21,17,21
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Impact,125,0,12,0,34,0,24,0,18,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Matching,18,9,0,0,6,4,4,2,4,2
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ByComponent.Export.Responsibility,174,0,18,0,46,0,33,0,24,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentSubject,216,0,24,0,55,0,40,0,28,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AssessmentAssets.AssessmentPlatform.UsesComponent,160,0,18,0,40,0,29,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Status,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,IncorporatesComponent,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,PoamItem.AssociatedRisk,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemUser,223,0,24,0,58,0,42,0,30,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemComponent.Status,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ParameterConstraint.Test,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ControlPart,151,37,18,0,36,16,27,10,18,10
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemImplementation,279,0,36,0,64,0,48,0,30,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SelectObjectiveById,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Metadata,336,104,52,2,69,37,58,21,31,21
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AuthorizedPrivilege,76,0,6,0,22,0,15,0,12,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ComponentImplementedRequirement,258,0,30,0,64,0,47,0,32,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,PlanOfActionAndMilestones,230,0,24,0,61,0,44,0,32,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,BackMatter.Resource.Base64,41,0,0,0,16,0,10,0,10,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,PoamItem,300,0,36,0,73,0,54,0,36,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ControlImplementation,111,0,12,0,28,0,20,0,14,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalMetadataModule,10,17,0,0,5,6,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,RelatedTask.IdentifiedSubject,69,0,6,0,19,0,13,0,10,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalSspModule,10,20,0,0,5,7,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Catalog,70,97,12,6,13,30,13,18,7,15
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemImplementation.LeveragedAuthorization,139,0,12,0,40,0,28,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalArModule,10,20,0,0,5,7,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Observation.RelevantEvidence,125,0,12,0,34,0,24,0,18,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemId,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ReviewedControls.ControlObjectiveSelection,209,0,24,0,52,0,38,0,26,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ImportAp,34,0,0,0,13,0,8,0,8,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ComponentStatement,174,0,18,0,46,0,33,0,24,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ParameterSelection,60,9,6,0,15,4,11,2,8,2
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Result.LocalDefinitions,195,0,24,0,46,0,34,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Risk.RiskLog.Entry.RelatedResponse,160,0,18,0,40,0,29,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SetParameter,76,0,6,0,22,0,15,0,12,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Risk.RelatedObservation,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,AuthorizationBoundary,160,0,18,0,40,0,29,0,20,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OscalCompleteModule,10,20,0,0,5,7,5,3,5,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Result.AssessmentLog.Entry,230,0,24,0,61,0,44,0,32,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Result,335,0,36,0,88,0,64,0,46,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,OriginActor,125,0,12,0,34,0,24,0,18,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,ReviewedControls,202,0,24,0,49,0,36,0,24,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Activity,223,0,24,0,58,0,42,0,30,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,PoamItem.RelatedFinding,27,0,0,0,10,0,6,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,Characterization,153,0,18,0,37,0,27,0,18,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemInformation,146,0,18,0,34,0,25,0,16,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,DocumentId,28,6,0,0,10,3,7,1,7,1
